,,30/06/2000,31/07/2000,31/08/2000,30/09/2000,31/10/2000,30/11/2000,31/12/2000,31/01/2001,28/02/2001,31/03/2001,30/04/2001,31/05/2001,30/06/2001,31/07/2001,31/08/2001,30/09/2001,31/10/2001,30/11/2001,31/12/2001,31/01/2002,28/02/2002,31/03/2002,30/04/2002,31/05/2002,30/06/2002,31/07/2002,31/08/2002,30/09/2002,31/10/2002,30/11/2002,31/12/2002,31/01/2003,28/02/2003,31/03/2003,30/04/2003,31/05/2003,30/06/2003,31/07/2003,31/08/2003,30/09/2003,31/10/2003,30/11/2003,31/12/2003,31/01/2004,29/02/2004,31/03/2004,30/04/2004,31/05/2004,30/06/2004,31/07/2004,31/08/2004,30/09/2004,31/10/2004,30/11/2004,31/12/2004,31/01/2005,28/02/2005,31/03/2005,30/04/2005,31/05/2005,30/06/2005,31/07/2005,31/08/2005,30/09/2005,31/10/2005,30/11/2005,31/12/2005,31/01/2006,28/02/2006,31/03/2006,30/04/2006,31/05/2006,30/06/2006,31/07/2006,31/08/2006,30/09/2006,31/10/2006,30/11/2006,31/12/2006,31/01/2007,28/02/2007,31/03/2007,30/04/2007,31/05/2007,30/06/2007,31/07/2007,31/08/2007,30/09/2007,31/10/2007,30/11/2007,31/12/2007,31/01/2008,29/02/2008,31/03/2008,30/04/2008,31/05/2008,30/06/2008,31/07/2008,31/08/2008,30/09/2008,31/10/2008,30/11/2008,31/12/2008,31/01/2009,28/02/2009,31/03/2009,30/04/2009,31/05/2009,30/06/2009,31/07/2009,31/08/2009,30/09/2009,31/10/2009,30/11/2009,31/12/2009,31/01/2010,28/02/2010,31/03/2010,30/04/2010,31/05/2010,30/06/2010,31/07/2010,31/08/2010,30/09/2010,31/10/2010,30/11/2010,31/12/2010,31/01/2011,28/02/2011,31/03/2011,30/04/2011,31/05/2011,30/06/2011,31/07/2011,31/08/2011,30/09/2011,31/10/2011,30/11/2011,31/12/2011,31/01/2012,29/02/2012,31/03/2012,30/04/2012,31/05/2012,30/06/2012,31/07/2012,31/08/2012,30/09/2012,31/10/2012,30/11/2012,31/12/2012,31/01/2013,28/02/2013,31/03/2013,30/04/2013,31/05/2013,30/06/2013,31/07/2013,31/08/2013,30/09/2013,31/10/2013,30/11/2013,31/12/2013,31/01/2014,28/02/2014,31/03/2014,30/04/2014,31/05/2014,30/06/2014,31/07/2014,31/08/2014,30/09/2014,31/10/2014,30/11/2014,31/12/2014,31/01/2015,28/02/2015,31/03/2015,30/04/2015,31/05/2015,30/06/2015,31/07/2015,31/08/2015,30/09/2015,31/10/2015,30/11/2015,31/12/2015,31/01/2016,29/02/2016,31/03/2016,30/04/2016,31/05/2016,30/06/2016,31/07/2016,31/08/2016,30/09/2016,31/10/2016,30/11/2016,31/12/2016,31/01/2017,28/02/2017,31/03/2017,30/04/2017,31/05/2017,30/06/2017,31/07/2017,31/08/2017,30/09/2017,31/10/2017,30/11/2017,31/12/2017,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022,31/03/2022,30/04/2022,31/05/2022,30/06/2022,31/07/2022,31/08/2022,30/09/2022,31/10/2022
ASX Ltd,ASX,15.65657,-4.36681,11.50685,-10.819,11.5421,15.77608,-7.28205,3.27118,-0.15302,-4.07663,-0.40816,2.62295,13.83387,-8.78473,-2.15385,-14.46541,5.49632,-1.68832,1.60043,3.09735,11.1588,1.81467,3.77213,2.96736,-3.45821,-5.07463,0.15723,-8.62637,0.61242,0.34783,-1.12652,2.80456,-5.37084,1.30631,4.26111,6.95652,1.78862,7.66773,3.11573,3.38849,12.75546,-3.0625,10.1225,-3.45433,2.00121,0.19025,-2.83816,-3.97763,0.58252,1.35135,2.19048,4.62131,13.55828,1.18855,8.91618,2.54902,1.10899,-2.17286,-1.67818,14.90964,1.04849,11.11111,5.28794,2.14689,6.08407,6.01321,6.55738,7.47692,-5.46235,0.73937,0.45872,-7.15373,6.81967,2.39104,0.85575,-1.51515,8.92308,2.82486,4.80769,-0.65531,12.32981,5.1374,9.09091,1.25,0.20576,0.71869,-3.53721,15.84052,6.69767,-1.6565,7.2695,-21.81818,-9.03806,-11.03711,-4.03743,-4.2073,-8.66783,10.19108,4.91041,-14.73416,-0.82919,2.84281,8.29268,-18.46847,0.71455,11.00605,11.48211,5.86797,6.78407,1.59503,-9.9388,6.34441,-3.69318,-2.47788,5.68663,-2.46136,6.98357,-4.46791,-2.82852,-6.27653,-5.6616,-0.89163,3.63322,11.88595,13.9085,1.9407,-0.37017,-0.84926,-0.02141,-5.56927,-6.74027,0.74766,-5.84416,-1.9376,0.30141,4.51413,1.21991,-1.40065,1.02412,-1.92937,6.39547,7.16591,-3.61446,-7.9375,1.222,4.69484,0.29148,-2.92187,0.43963,-0.87542,6.01223,12.14354,4.14286,1.69822,3.92374,-0.55836,-10.18542,4.92894,2.16138,-0.27362,6.25543,1.11747,-0.91644,-3.1012,5.44638,-1.61874,-1.46937,1.23804,-0.94497,1.54321,3.59215,-1.94985,0.36252,0.02779,2.05556,3.81056,15.73152,-4.09379,1.78701,-1.23369,-4.15566,11.40351,-11.27109,-1.54412,8.81732,0.41242,2.58517,-0.25907,-0.75561,0.93029,5.55153,1.78367,2.80836,8.61014,2.91751,-3.91007,-2.1387,3.24634,2.21948,0.30157,2.68591,0.52703,0.47544,0.78864,4.87089,-2.44357,4.55067,-2.28969,2.95632,5.85402,-3.9902,-0.21874,6.66788,-2.15448,4.58437,3.41122,6.20155,2.01895,2.96849,-4.27114,-7.05309,1.89285,-0.58053,6.28962,9.51185,1.74,6.67239,1.67785,8.73927,7.86694,-2.85875,-3.25107,1.54188,-0.74101,-4.03867,9.25902,-13.45862,5.54896,5.78545,8.12998,-3.17532,-3.19747,5.67453,-5.83352,-1.71563,-3.16464,-6.6269,-0.29167,-5.83647,6.76627,2.7164,4.49438,1.90139,-1.05521,14.15008,-6.44639,2.49383,8.92556,2.7314,-10.4521,-1.03378,0.77007,5.95355,-6.77282,1.12624,8.01615,-11.11489,-6.99809,-5.65775
Atlas Pearls Ltd,ATP,1.96078,7.69231,-12.5,-2.04082,-16.66667,10,11.36364,-6.12245,-13.04348,5,28.57143,-9.25926,-4.08163,17.02128,9.09091,-3.33333,8.62069,11.86441,18.18182,-5.12821,13.51351,9.52381,13.04348,-4,-3.125,-6.45161,-2.29885,0,-7.05882,1.33333,2.63158,-1.28205,-6.49351,-19.44444,8.62069,-4.91803,0,-3.44828,1.78571,-17.54386,-6.38298,0,2.27273,-2.22222,13.63636,-14,-6.97674,-2.5,-23.07692,16.66667,-5.71429,3.0303,2.94118,-2.85714,-2.94118,0,36.36364,2.22222,-8.69565,-4.76191,5,-2.38095,14.63415,2.12766,6.25,-11.76471,22.22222,15.09434,14.7541,-10,6.34921,-7.46269,8.06452,-6.25,3.33333,4.83871,16.92308,-2.63158,22.85714,2.32558,-2.27273,-2.32558,19.04762,1,-3.09278,1.06383,-5.26316,-4.44445,-3.65854,-1.26582,5.12821,-12.19512,4.16667,6.66667,15,-4.34783,-9.09091,-7.89474,8.57143,-15.78947,0,-46.875,-5.88235,12.5,-44.44444,-16.7344,26.50602,23.80952,-28.46154,2.15054,-2.10526,45.16129,-11.11111,-4.16667,0,-8.69565,0,4.76191,0,-9.09091,15,-21.73913,22.22222,4.54546,-4.34783,0,0,-9.09091,10,0,9.09091,4.16667,-20,0,-9,8.79121,6.06061,-4.76191,-23,3.8961,-32.5,7.40741,5.17241,-9.83607,5.45455,6.89655,-3.22581,-23.33333,10.86957,-9.80392,0,4.34783,8.33333,-7.69231,-8.33333,-9.09091,2.5,2.43902,26.19048,5.66038,-10.71429,16,17.24138,-11.76471,5,6.34921,-4.47761,4.6875,26.86567,-4.70588,66.66666,-22.22222,14.28571,-20.83333,-13.68421,-24.39024,-6.45161,-31.03448,12.5,6.66667,-8.33333,-6.81818,-9.7561,-13.51351,-3.125,3.22581,18.75,-21.05263,10,-15.15152,35.71429,-23.68421,10.34483,-3.125,3.22581,34.375,6.97674,-4.34783,-2.27273,-11.62791,-7.89474,-17.14286,0,-6.89655,-3.7037,3.84615,3.7037,3.57143,-6.89655,-7.40741,8,11.11111,-6.66667,-17.85714,4.34783,-12.5,14.28571,0,-8.33333,-9.09091,-5,-5.26316,-16.66667,0,13.33333,-5.88235,-6.25,0,-46.66667,25,-30,0,28.57143,0,-22.22222,14.28571,12.5,-33.33333,0,0,-16.66667,60,-12.5,14.28571,12.5,11.11111,50,-20,-8.33333,18.18182,15.38461,20,-16.66667,66.66666,8,11.11111,-13.33333,15.38461,-3.33333,34.48276,38.46154,-7.40741,-6,-12.76596,-12.19512,-11.11111,3.125,0,15.15152
Auckland International Airport Ltd,AIA,-3.75587,9.7561,-0.88889,-5.8296,5.638,3.67842,10.86957,9.80392,7.14286,-0.96473,-7.2165,8.84564,0.72027,-4.41727,14.78873,-9.12577,-3.44828,9.64286,-0.65147,5.90164,1.85759,13.06991,-0.71705,6.35359,-3.8961,-1.7248,-3.56164,9.375,25.32467,-2.10526,11.39785,-2.50965,2.9703,-4.90385,-3.29897,5.54371,9.09091,0.92593,5.50459,-0.49287,5.12683,0.8489,1.56293,-1.37312,-0.46353,0.53829,-0.17065,1.53846,3.367,4.56026,6.85358,-2.33236,1.7,8.1203,4.17246,-1.89831,8.87589,-4.86,-0.40161,4.83871,13.84615,-4.82432,-4.20792,6.97674,-9.11111,-2.17391,2.77778,-2.16216,-7.73481,7.7006,-2.83286,2.04082,2.28571,-3.35196,-2.89017,5.35714,2.26554,5.36723,5.09383,3.57143,-2.46305,5.22727,8.78049,5.8296,29.23729,-1.96721,-13.04348,4.23077,-10.38376,2.09205,4.90533,-7.84314,-9.28091,-5.57944,-8.62944,-5.55556,-11.17647,4.30464,8.88889,-5.53936,-1.73457,-9.23567,-5.26316,2.22222,0,2.52493,-5.43183,-4.19847,3.98406,4.21456,3.67647,7.44681,8.08581,-9.6875,9.34256,-7.27848,-0.64778,4.6573,5.36913,-1.59236,-1.2945,5.57377,-1.86335,0,5.57018,-1.53374,4.6729,2.97619,-3.17919,-0.70934,0.61728,8.89571,-4.22535,7.05882,1.0989,1.94299,-1.65746,0.5618,5.58659,0.5291,0,3.82964,3.09278,0,-4.5,0.78534,5.45455,5.29175,1.91388,-2.34742,4.32692,5.06912,0,5.48069,8.47458,-1.17188,-0.79051,13.54582,-6.66667,12.35182,1.70649,5.7047,7.61905,-0.29499,3.84615,1.9943,-8.74302,-3.0303,3.40909,-4.12088,-4.87106,3.61446,2.10465,4.34783,14.16667,4.13625,-1.63551,7.38242,-0.44944,2.48307,-3.52423,11.41553,-9.22131,1.95628,11.68539,-3.42052,14.79167,-8.34846,12.67327,3.80179,-3.94511,4.64286,5.80205,11.77419,4.329,-1.85502,-11.44492,-4.52343,4.06091,6.82927,4.56621,-8.31595,2.10016,4.58861,2.42058,-3.54505,-5.66616,-3.73377,-4.62963,4.31655,1.72414,2.88136,-1.31796,-1.31506,1.89329,3.37838,1.79739,-0.96308,6.32091,1.82927,-1.94296,3.56589,0.7485,3.41753,6.46552,6.41628,-2.9563,9.13907,13.1068,-3.75537,0.55741,-5.76497,2.18,0,-0.81585,-1.99765,-8.51319,-35.12451,15.9596,5.22648,1.98676,-5.35714,4.45969,10.18062,-2.53353,11.7737,-1.91519,-4.74198,3.07467,0.71023,0.28209,-3.65682,-1.31387,0.59172,1.47059,9.13044,-0.39841,0.26667,-4.25532,-6.94445,-0.29851,8.23353,-0.41494,-6.66667,-3.57143,2.9321,1.49925,-6.79468,10.30111
Ausmani Ltd,ABF,-14.70588,6.89655,-22.58064,16.66667,7.14286,6.66667,18.75,5.76681,-11.90476,8.10811,2.5,-4.87805,-23.07692,3.33333,-5.61291,-21.39439,-2.17391,46.66667,15.15152,-9.21053,-8.69565,4.76191,-14.5,-0.762,7.14286,-18.33333,6.12245,-3.84615,14,-7.01754,7.54717,2.66666,-11.14149,-9.56731,16.95907,5.45455,13.7931,0,-6.06061,-6.45161,5.17241,1.66667,8.19672,3.0303,-30.88235,2.12766,-14.58333,-26.82927,0,10,-18.18182,-7.40741,12,7.14286,3.33333,-6.45161,-6.89655,-25.92593,-25,-2.46667,-28.91319,22.58653,-19.67213,2.04482,-14,9.30233,-17.02128,-23.07692,0,-23.33333,13.04348,-15.38461,-22.72727,47.05882,-24,42.10526,40.74074,61.84211,23.57724,-3.94737,-6.84932,-5.88235,-6.25,0,-41.66667,0,-20,-28.57143,25,-16,4.76191,-4.54546,-47.61905,-36.36364,7.14286,-70.66666,127.2727,2,17.64706,-8.33333,9.09091,-16.66667,76,-43.18182,-15,17.64706,0,0,0,0,-5,0,-15.78947,-41.875,23.65591,-21.73913,1.11111,-1.0989,-5.55556,-17.64706,-28.57143,110,-10.47619,-14.89362,6.25,-11.76471,-73.33334,0,0,25,36,29.41176,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,2.27273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausmelt Ltd,AET,6.06061,6.66667,66.07143,-24.73118,17.85714,63.63636,-11.11111,0,6.25,-19.60784,12.19512,21.73913,-5.35714,-1.88679,-0.76923,-14.16309,7.5,58.13953,17.64706,5.75,-1.18203,18.1934,-19.59459,6.72269,-8.66142,-26.72414,10.58823,-1.06383,-1.0989,-10,2.46914,-4.81928,-2.53165,-6.92208,-2.85714,0,7.35294,0,2.73973,-5.33333,12.67606,16.25,-19.35484,6.66667,-10,-9.72222,-12.30769,-26.31579,0,-4.76191,20,8.33333,-10,-3.33333,-14.94253,5.40541,-7.69231,-16.66667,-16.66667,2,9.80392,35.71429,-21.05263,-3.33333,48.27586,-6.97674,0,7.5,-6.97674,13.75,61.53846,-18.36735,-1.66667,8.47458,9.375,-4.28571,59.70149,-4.76191,-2,5.10204,-12.62136,-4.44445,7.05882,26.37363,-13.91304,-2.0202,3.09278,16.32653,27.19298,-3.44828,-3.57143,-7.40741,-5.6,-6.77966,11.11111,10,2.27273,-24.44444,2.94118,-28.57143,-46.66667,-3.94737,-9.58904,-3.0303,-31.25,-31.81818,-26.66667,263.6364,-20,0,12.5,-9.72222,61.53846,42.85714,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auspine Ltd,ANE,13.06533,8.88889,-0.40816,-4.5082,-9.50226,14,-3.50877,8.18182,-7.14286,7.69231,5.17241,-4.09836,0,1.7094,-1.2605,-2.55319,1.34529,-3.09735,-1.82648,-0.93023,-6.10329,14,-4.0724,17.45283,-11.64659,-6.81818,11.21951,6.14035,-3.40426,2.64317,-3.00429,1.76991,8.69565,0.8,9.42623,1.49813,3.32103,6.42857,1.00671,0.33223,-3.41297,9.54064,3.54839,-1.86916,4.76191,5,3.2641,0.57471,12.57143,-2.28426,-0.77922,0.52356,5.89812,-2.02532,-0.77519,0.26042,0.25974,-2.20207,-5.70652,-0.57637,10.72464,-7.8534,-1.98864,5.21739,-11.43251,6.01266,2.98508,0,4.92754,1.9337,11.11111,0,5.5,-0.47393,0,4.04762,-1.40515,5.46318,-5.18018,-4.98812,-2.5,-8.20513,13.40782,57.85536,-2.52765,3.56564,-3.44288,-5.67261,0.87719,20.69565,0.57637,-1.14613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austal Ltd,ASB,4.54546,-16.08696,-2.59067,-9.57447,0,12.34568,-1.0989,-9.44445,-14.11043,-15.71429,-0.84746,4.2735,-18.03279,19,-4.20168,-9.14842,19.60784,10.65574,-4.44445,13.17829,-2.73973,6.33803,3.97351,-11.46497,-5.7554,-7.63359,1.65289,12.19512,-7.97101,-8.19672,-19.64286,-8.88889,-36.58537,44.23077,-9.33333,4.41177,26.76056,-3.33333,14.94253,-5,0,-7.36842,-3.40909,5.88235,13.33333,-8.82353,-2.15054,19.78022,14.6789,8,8.14815,9.58904,11.25,9.55056,-3.07692,1.0582,-0.52356,-2.63158,-10.27027,6.62651,4.51977,-10.81081,16.06061,13.31593,12.4424,-2.12766,-1.73913,-5.30973,1.40187,11.98157,9.46502,-5.26316,18.65079,5.35117,1.5873,4.0625,10.86957,3.92157,-7.27763,7.55814,-2.7027,-12.5,21.26984,-1.83246,0,-1.86667,-3.80435,-0.84746,-5.30973,-17.13396,6.76692,-26.05634,16.66667,6.12245,6.92308,15.82734,-20.18633,2.33463,-9.5057,5.46219,-26.05042,16.47727,-4.87805,-6.15385,-10.92896,6.74847,49.42529,-1.92308,9.41177,1.07527,4.25532,-9.52381,-6.53846,-4.52675,0,3.87931,1.24481,4.5082,-7.05882,-10.12658,2.8169,5.02283,-2.17391,11.55556,0,27.34694,11.85897,-11.46132,-3.8835,2.3569,1.97368,-12.90323,2.96296,6.11511,-15.25424,-9.6,3.63636,-5.26316,-0.46296,-5.5814,-10.83744,3.59116,5.06667,-10.6599,-7.95455,-0.61728,-15.52795,1.83824,-11.55235,-57.55102,9.61539,21.92982,-13.66906,10.83333,0,2.25564,11.02941,11.92053,-0.59172,-4.76191,-5.625,-0.66225,16,-2.29885,1.76471,12.71676,7.69231,7.14286,13.77778,-7.03125,7.14286,1.96078,-0.76923,4.65116,11.48148,2.99003,0.64516,13.46154,13.06818,-8.0402,0.81967,7.31707,6.06061,8.57143,1.33333,6.57895,-35.39095,-16.87898,6.13027,14.44043,-0.31949,-12.82051,-11.02941,-4.13223,27.15517,1.01695,4.76191,22.72727,-7.93651,-8.04598,18.75,-7.89474,-0.86705,5.24781,1.38504,-1.36612,-5.26316,-7.89474,13.50482,-3.68272,7.05882,0,0.54945,0.27322,-2.20386,3.66197,1.08696,-8.06452,11.11111,5.26316,-9.13706,3.63129,4.85175,2.82776,11,2.7027,18.66667,9.73783,16.38225,18.76833,4.19753,3.5545,-3.68664,0.47847,-9.04762,2.87958,-11.45038,-15.51724,15.46392,-0.59524,-3.29341,2.16718,7.27273,-5.9322,-17.37805,7.74908,-8.56164,-3.74532,-7.7821,-3.79747,7.58929,-6.22407,-9.29204,5.36585,-9.49074,-1.79028,0,-2.92553,6.84932,3.07692,-4.72637,0.78329,6.87831,-1.9802,-9.09091,48.88889,-4.10448,-9.72763,9.21053
Australand Property Group,ALZ,10,1.3986,2.75862,-0.68493,-6.2069,-2.94118,-3.78788,-0.80645,6.50407,-2.29008,9.6,5.10949,11.11111,1.91083,-0.625,-1.25786,3.8961,15.625,1.62162,-6.48649,-5.20231,-0.62112,0,0.625,-6.32911,-3.37838,-1.3986,2.89855,-2.8169,2.17391,4.34783,-1.38889,0.70423,1.42857,10.56338,1.91083,1.91083,7.5,4.06977,-1.13636,0.57471,10.17436,0.82927,2.48447,4.24242,4.65116,-6.81818,-1.21951,0.61728,5.03145,6.58683,6.17978,2.7027,-4.21053,1.92308,0,-4.97238,-1.74419,-3.63636,-11.32076,0.70922,18.47826,12.53823,4.07609,-4.53333,13.40782,4.18719,-3.62319,1.75439,3.44828,0.48544,-5.31401,7.65306,-13.04348,-1.66667,5.08475,0.82418,5.72207,5.15464,3.7594,4.34783,2.77778,5.50459,3.47826,-8.82353,11.26761,0.42194,-0.84034,2.58621,0.42017,-0.83682,-18.75,5.57029,-7.03518,-8.83978,-3.0303,-23.125,-31.33227,-3.78788,-12.59842,-46.84685,-1.69492,-12.06897,0,-19.60784,34.14634,60,-7.95455,25.92593,7.84479,12.63158,-0.93458,0.9434,-4.6729,4.90196,-12.62136,7.77778,5.15464,13.33333,-15.22491,2.85714,9.91736,4.13534,-2.16607,2.58303,-0.35971,8.84477,0,6.87285,-1.60772,-0.98039,-4.29043,2.24138,-12.23776,-1.99203,-6.50407,13.04348,1.15385,-4.56274,8.33333,1.92308,-3.39623,5.46875,-2.22222,-2.46212,14.5749,2.12014,2.07613,2.37288,-1.98676,18.58108,1.47059,0.86957,-0.86207,8.69565,-7.2,3.01724,-0.86207,-2.02899,7.98817,2.19178,0.80429,5.31915,0.77922,0.7732,7.92839,1.4218,0.23364,6.46853,1.12613,0.58575,-0.89087,0.22472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia and New Zealand Banking Group Ltd,ANZ,5.51025,1.56128,0.15373,1.91865,7.30422,7.85965,-4.26099,3.91516,3.52674,-10.92437,1.66909,11.34904,10.70072,-7.77331,8.33868,-5.3878,11.63955,-3.537,5.94919,-0.33129,3.94366,0.81224,2.04378,4.79452,-1.07692,-6.99845,5.68562,-6.90928,9.29178,-0.21243,-7.66365,-0.63401,-4.75638,9.1961,4.01562,1.71582,0.43173,-1.93444,-4,2.45434,3.79354,-2.64045,5.11296,-0.67873,2.44875,5.39188,-2.05696,-0.26925,1.27424,-1.2035,1.60576,3.65123,7.25552,0.93137,2.69327,0,3.78825,-3.50959,4.60718,1.80807,1.3986,-1.33333,3.26188,8.30325,-1.875,4.03397,0.16729,3.9666,3.29317,3.03266,5.4717,-3.36315,0.5293,-5.03949,7.92079,-1.43119,8.11616,0.34435,-0.84359,3.19036,0.6527,1.36519,3.0303,-3.72549,0.52011,-2.38013,2.43816,2.44912,1.3468,-3.98671,-2.4858,-5.28041,-15.41715,2.5,-2.88248,1.82648,-13.65314,-13.19444,2.21539,12.88381,-7.41333,-10.48387,3.31081,-13.21125,0.30143,18.33208,0.95238,2.89308,3.71069,12.37113,14.89476,14.56083,-5.45305,-1.51778,3.29571,-5.02622,6.48873,9.59378,-4.57413,-5.66116,-3.13761,6.66358,-1.99566,4.82514,4.77196,-5.68319,3.04501,1.37045,1.94339,-1.32615,1.76397,-6.02559,-0.58744,-5.31818,-2.59242,-3.79497,11.06557,-4.7048,3.16583,4.28641,2.52219,5.96811,2.7945,-9.82852,5.4067,6.85429,5.43755,-0.28203,2.82828,-1.17878,2.83251,6.10778,8.05117,-0.66156,11.60182,-11.21231,3.77633,4.12876,-0.23522,3.67127,9.94152,-3.04374,1.03448,-6.51567,6.67109,2.86248,4.26497,-0.43516,-0.44789,1.88962,-1.58964,-7.50823,8.34411,-1.8806,0.53258,2.83577,7.09091,3.67855,-7.23253,0.17652,-2.98283,1.49068,-14.53488,-3.04332,0.48006,3.27086,2.87293,-13.42642,-7.36146,4.73214,3.45269,8.28183,-5.33752,7.13101,4.10217,2.71376,0.79624,4.8833,7.07497,-3.71466,5.49676,2.97735,2.95412,-12.05739,2.53481,3.16852,-0.77624,0.68027,1.08108,-2.20588,0.98384,-0.55672,1.64451,-7.53873,-0.07446,4.35917,3.78537,3.75354,0.68259,-4.47458,-7.98439,6.44042,-8.73134,2.33034,11.86576,-7.03571,4.49481,5.44118,1.18364,-1.06345,-4.19205,6.65669,-6.24123,-4.11369,-0.84541,4.5473,-3.57282,-31.69553,-0.35377,5.85799,4.19229,-3.64807,3.17372,-5.79869,9.23345,22.22222,0.26502,4.44934,10.37537,7.68055,1.98723,2.33125,-1.95054,-1.56306,0.50523,1.0772,-0.03552,-2.55864,3.03371,-3.56234,-1.96005,6.11303,-1.08696,-5.64103,-12.02077,4.77833,-0.30568,-0.13141,12.10526
Australian Pharmaceutical Industries Ltd,API,3.80952,8.25688,1.27119,2.09205,-1.2605,-0.42553,1.7094,3.40336,1.66667,-1.63934,0,2.5,0.4065,7.79352,-3.84615,2,9.01961,7.91367,12.66667,14.27515,5.26316,-1.25,-13.16456,0.58309,-1.44928,0.51471,-1.19403,-4.83384,-11.11111,-2.14286,2.18978,-4.55357,-8.04598,5.41667,9.09091,-16.66667,13.04348,-0.09615,8.3004,-6.56934,2.34375,3.81679,3.67647,-0.26596,-4,-7.57576,4.91803,-2.73438,3.21285,-0.09728,-1.6,20.73171,9.09091,4.93827,6.47059,-4.35083,-10.58823,-5.92105,-3.84615,5.45455,18.62069,-3.27035,-1.84049,-3.4375,1.61812,2.86624,-9.90712,2.14777,-2.06186,-19.64912,8.29694,-6.04839,-0.85837,-2.5974,-7.55556,8.78049,17.48879,-4.19847,-11.55379,-4.50451,-6.60377,6.06061,4.76191,7.72727,-5.06329,-12.66667,-5.85242,2.7027,5.26316,-7.25,-1.61725,-12.87671,13.20755,-16.94444,-12.37458,-18.70229,-31.4554,6.84932,-11.53846,-7.97101,-11.81102,-26.78572,5,25,-16.19048,-11.36364,30.76923,36.27451,-17.98561,2.63158,28.20513,13.33333,6.335,-15.43624,9.52381,-6.52174,-12.4031,7.07965,-7.43802,-14.28571,-17.02128,5.12821,3.65854,22.35294,-0.96154,2.91262,-14.56311,-3.40909,-5.88235,-20,-1.5625,-3.1746,-5.08475,-3.57143,-12.96296,-4.25532,33.33333,-16.66667,12.76596,13.20755,-5,8.77193,27.41936,-5.06329,-2.77778,0,7.14286,14.66667,9.30233,2.12766,1.07527,-3.19149,-4.39561,1.14943,10.22727,-4.12371,-1.11111,0,8.98876,-1.03093,34.375,-2.71318,-1.63934,-0.83333,0,-5.04202,2.65487,-8.62069,14.56311,1.69492,-2.5,15.38461,19.25926,6.8323,2.38095,5.81395,25.27472,59.21053,-7.7135,8.35821,-16.43454,6,2.20126,-6.76923,30.69307,4.79798,-5.85366,8.29016,-6.9378,0.51414,0.25575,-3.57143,-9.91957,14.28571,-7.55208,8.73239,-1.5544,2.10526,8.13648,-8.49515,0.79576,7.36842,9.31373,-18.38565,6.72269,-7.87402,-16.52422,1.70649,1.00671,2.32558,11.96013,-10.97923,2,-1.96078,-9.66667,2.58303,25.46125,-0.58824,9.1716,-6.50407,-11.30435,-1.63399,-5.80205,-8.69565,11.50794,7.82918,-4.9505,-7.11806,1.53846,9.4697,-8.65052,2.27273,-1.85185,1.88679,2.29008,-1.86567,-9.12548,4.60251,-6.4,-3.84615,1.77778,-3.49345,-1.80996,-3.22581,4.28571,11.87215,2.07469,3.25203,-12.59842,15.31532,-7.42188,0.42194,-5.10638,26.4574,-4.60993,9.66543,2.37288,0.66225,15.33333,-12.13873,0.65789,1.96078,,,,,,,
